txn_id,date,merchant,category,amount,currency,method
T100428,2026-06-20,Metro Card,transport,223.37,INR,UPI
T100429,2026-06-20,IndianOil,fuel,523.49,INR,CreditCard
T100430,2026-06-21,Swiggy,food,630.09,INR,UPI
T100431,2026-06-21,Amazon,shopping,761.91,INR,UPI
T100432,2026-06-21,Zomato,food,617.26,INR,DebitCard
T100433,2026-06-22,Amazon,shopping,791.19,INR,CreditCard
T100434,2026-06-22,Uber,transport,595.01,INR,UPI
T100435,2026-06-22,Zomato,food,302.38,INR,UPI
T100436,2026-06-22,Quillbot Premium,productivity,1906.47,USD,CreditCard
T100437,2026-06-23,Swiggy,food,442.94,INR,DebitCard
T100438,2026-06-23,IndianOil,fuel,1866.5,INR,UPI
T100439,2026-06-23,Amazon,shopping,3647.63,INR,DebitCard
T100440,2026-06-24,Zomato,food,810.13,INR,DebitCard
T100441,2026-06-24,Local Pharmacy,health,659.44,INR,UPI
T100442,2026-06-24,Local Pharmacy,health,1115.05,INR,DebitCard
T100443,2026-06-24,Grammarly,productivity,1000.0,INR,CreditCard
T100444,2026-06-25,Uber,transport,465.91,INR,DebitCard
T100445,2026-06-26,Myntra,shopping,1425.4,INR,DebitCard
T100446,2026-06-28,Myntra,shopping,4325.0,INR,CreditCard
T100447,2026-06-28,Zomato,food,722.54,INR,UPI
T100448,2026-06-28,Netflix,entertainment,649.0,INR,UPI
T100449,2026-06-28,Myntra,shopping,1612.19,INR,UPI
T100450,2026-06-29,Amazon,shopping,2804.41,INR,DebitCard
T100451,2026-06-30,IndianOil,fuel,1018.19,INR,CreditCard
T100452,2026-06-30,BigBasket,groceries,519.26,INR,UPI
T100453,2026-06-30,Uber,transport,104.52,INR,UPI
T100454,2026-07-01,Uber,transport,340.17,INR,CreditCard
T100455,2026-07-01,Zomato,food,612.26,INR,UPI
T100456,2026-07-01,BigBasket,groceries,1100.31,INR,UPI
T100457,2026-07-01,Amazon,shopping,529.89,INR,DebitCard
T100458,2026-07-02,Local Pharmacy,health,1098.86,INR,UPI
T100459,2026-07-03,Local Pharmacy,health,406.88,INR,DebitCard
T100460,2026-07-03,Myntra,shopping,1213.15,INR,UPI
T100461,2026-07-03,Zomato,food,725.43,INR,CreditCard
T100462,2026-07-04,IndianOil,fuel,1310.96,INR,UPI
T100463,2026-07-04,Metro Card,transport,446.2,INR,CreditCard
T100464,2026-07-05,Jio Recharge,telecom,299.0,INR,UPI
T100465,2026-07-05,IndianOil,fuel,1246.39,INR,CreditCard
T100466,2026-07-06,Zomato,food,451.11,INR,CreditCard
T100467,2026-07-06,BigBasket,groceries,1777.29,INR,DebitCard
T100468,2026-07-06,Metro Card,transport,343.55,INR,CreditCard
T100469,2026-07-07,Zomato,food,499.07,INR,UPI
T100470,2026-07-07,Amazon,shopping,5929.94,INR,DebitCard
T100471,2026-07-08,Notion AI,productivity,800.0,INR,CreditCard
T100472,2026-07-09,Swiggy,food,421.51,INR,UPI
T100473,2026-07-10,Zomato,food,551.51,INR,DebitCard
T100474,2026-07-11,Zomato,food,533.78,INR,CreditCard
T100475,2026-07-11,Metro Card,transport,393.85,INR,UPI
T100476,2026-07-11,IndianOil,fuel,2675.99,INR,UPI
T100477,2026-07-12,IndianOil,fuel,1474.97,INR,CreditCard
T100478,2026-07-12,Zomato,food,781.98,INR,UPI
T100479,2026-07-12,IndianOil,fuel,2878.01,INR,CreditCard
T100480,2026-07-13,Spotify,entertainment,119.0,INR,UPI
T100481,2026-07-13,Uber,transport,387.9,INR,DebitCard
T100482,2026-07-14,BigBasket,groceries,1821.35,INR,CreditCard
T100483,2026-07-14,Local Pharmacy,health,137.81,INR,DebitCard
T100484,2026-07-14,Zomato,food,614.32,INR,UPI
T100485,2026-07-14,Metro Card,transport,196.13,INR,CreditCard
T100486,2026-07-15,Hotstar,entertainment,299.0,INR,CreditCard
T100487,2026-07-15,Metro Card,transport,171.46,INR,UPI
T100488,2026-07-15,Canva Pro (US),productivity,3136.96,USD,CreditCard
T100489,2026-07-16,Metro Card,transport,150.3,INR,CreditCard
T100490,2026-07-16,Local Pharmacy,health,395.58,INR,CreditCard
T100491,2026-07-16,Uber,transport,426.17,INR,UPI
T100492,2026-07-17,Metro Card,transport,315.91,INR,UPI
T100493,2026-07-17,Zomato,food,435.26,INR,UPI
T100494,2026-07-17,Swiggy,food,574.68,INR,CreditCard
T100495,2026-07-18,Metro Card,transport,293.4,INR,CreditCard
T100496,2026-07-18,CultFit Gym,fitness,1300.0,INR,UPI
T100497,2026-07-18,Uber,transport,394.45,INR,CreditCard
T100498,2026-07-18,IndianOil,fuel,1150.72,INR,CreditCard
T100499,2026-07-18,Zomato,food,344.72,INR,DebitCard
T100500,2026-07-20,IndianOil,fuel,2462.82,INR,DebitCard
T100501,2026-07-20,Amazon,shopping,5595.27,INR,UPI
T100502,2026-07-20,Uber,transport,362.7,INR,CreditCard
T100503,2026-07-21,Swiggy,food,776.39,INR,UPI
T100504,2026-07-21,Quillbot Premium,productivity,1952.35,USD,CreditCard
T100505,2026-07-21,IndianOil,fuel,1602.06,INR,DebitCard
T100506,2026-07-21,Amazon,shopping,3120.27,INR,UPI
T100507,2026-07-21,BigBasket,groceries,900.34,INR,UPI
T100508,2026-07-22,Amazon,shopping,1004.39,INR,UPI
T100509,2026-07-22,Grammarly,productivity,1000.0,INR,CreditCard
T100510,2026-07-22,Zomato,food,427.77,INR,DebitCard
T100511,2026-07-23,IndianOil,fuel,2746.92,INR,UPI
T100512,2026-07-23,Amazon,shopping,5922.71,INR,DebitCard
T100513,2026-07-25,Uber,transport,446.98,INR,DebitCard
T100514,2026-07-25,Amazon,shopping,2921.4,INR,CreditCard
T100515,2026-07-25,Metro Card,transport,399.96,INR,UPI
T100516,2026-07-26,Uber,transport,334.63,INR,UPI
T100517,2026-07-27,Netflix,entertainment,649.0,INR,UPI
T100518,2026-07-27,Zomato,food,651.9,INR,DebitCard
T100519,2026-07-28,Uber,transport,616.61,INR,DebitCard
T100520,2026-07-28,Myntra,shopping,3518.05,INR,UPI
T100521,2026-07-29,Myntra,shopping,1815.05,INR,UPI
T100522,2026-07-29,Zomato,food,862.56,INR,UPI
T100523,2026-07-30,Uber,transport,80.54,INR,DebitCard
T100524,2026-07-30,Swiggy,food,613.74,INR,UPI
T100525,2026-07-30,Myntra,shopping,3018.05,INR,DebitCard
T100526,2026-07-30,Zomato,food,170.97,INR,CreditCard
T100527,2026-07-30,Myntra,shopping,2409.83,INR,CreditCard
T100528,2026-07-31,BigBasket,groceries,1934.37,INR,UPI
T100529,2026-08-01,Swiggy,food,686.57,INR,CreditCard
T100530,2026-08-02,Metro Card,transport,100.16,INR,DebitCard
T100531,2026-08-02,IndianOil,fuel,704.77,INR,UPI
T100532,2026-08-02,Myntra,shopping,2378.25,INR,CreditCard
T100533,2026-08-02,Local Pharmacy,health,1092.65,INR,DebitCard
T100534,2026-08-03,Jio Recharge,telecom,299.0,INR,UPI
T100535,2026-08-04,Swiggy,food,455.87,INR,UPI
T100536,2026-08-04,IndianOil,fuel,2097.37,INR,UPI
T100537,2026-08-04,Amazon,shopping,4644.63,INR,UPI
T100538,2026-08-05,Myntra,shopping,3698.81,INR,DebitCard
T100539,2026-08-05,Local Pharmacy,health,529.81,INR,UPI
T100540,2026-08-06,Notion AI,productivity,800.0,INR,CreditCard
T100541,2026-08-06,IndianOil,fuel,893.76,INR,UPI
T100542,2026-08-07,Amazon,shopping,4094.99,INR,CreditCard
T100543,2026-08-08,IndianOil,fuel,2960.07,INR,UPI
T100544,2026-08-09,BigBasket,groceries,463.82,INR,UPI
T100545,2026-08-10,Spotify,entertainment,119.0,INR,UPI
T100546,2026-08-10,Uber,transport,637.48,INR,DebitCard
T100547,2026-08-11,Myntra,shopping,3084.6,INR,UPI
T100548,2026-08-11,Myntra,shopping,1672.13,INR,DebitCard
T100549,2026-08-12,Myntra,shopping,2327.55,INR,CreditCard
T100550,2026-08-12,Canva Pro (US),productivity,3131.57,USD,CreditCard
T100551,2026-08-12,Zomato,food,129.57,INR,DebitCard
T100552,2026-08-12,Uber,transport,650.89,INR,CreditCard
T100553,2026-08-12,Myntra,shopping,558.77,INR,CreditCard
T100554,2026-08-12,Zomato,food,779.13,INR,UPI
T100555,2026-08-13,Zomato,food,224.75,INR,UPI
T100556,2026-08-13,Amazon,shopping,4632.9,INR,UPI
T100557,2026-08-14,IndianOil,fuel,1627.01,INR,CreditCard
T100558,2026-08-14,Swiggy,food,415.1,INR,UPI
T100559,2026-08-15,Hotstar,entertainment,299.0,INR,CreditCard
T100560,2026-08-16,Local Pharmacy,health,335.91,INR,DebitCard
T100561,2026-08-16,Local Pharmacy,health,782.42,INR,DebitCard
T100562,2026-08-16,Myntra,shopping,2040.09,INR,CreditCard
T100563,2026-08-17,BigBasket,groceries,1714.38,INR,UPI
T100564,2026-08-18,Myntra,shopping,2792.48,INR,DebitCard
T100565,2026-08-18,Quillbot Premium,productivity,1994.34,USD,CreditCard
T100566,2026-08-19,CultFit Gym,fitness,1300.0,INR,UPI
T100567,2026-08-19,BigBasket,groceries,947.73,INR,UPI
T100568,2026-08-19,Metro Card,transport,491.14,INR,DebitCard
T100569,2026-08-19,Myntra,shopping,2764.01,INR,DebitCard
T100570,2026-08-19,Local Pharmacy,health,659.68,INR,UPI
T100571,2026-08-20,Zomato,food,144.5,INR,DebitCard
T100572,2026-08-20,Local Pharmacy,health,654.96,INR,CreditCard
T100573,2026-08-20,Zomato,food,609.42,INR,UPI
T100574,2026-08-21,Local Pharmacy,health,986.99,INR,UPI
T100575,2026-08-21,Swiggy,food,306.57,INR,UPI
T100576,2026-08-22,Metro Card,transport,282.77,INR,UPI
T100577,2026-08-22,Local Pharmacy,health,677.1,INR,DebitCard
T100578,2026-08-22,IndianOil,fuel,2561.72,INR,CreditCard
T100579,2026-08-22,Zomato,food,293.19,INR,CreditCard
T100580,2026-08-23,Amazon,shopping,1804.93,INR,CreditCard
T100581,2026-08-23,IndianOil,fuel,2574.4,INR,UPI
T100582,2026-08-24,Grammarly,productivity,1000.0,INR,CreditCard
T100583,2026-08-24,Uber,transport,443.6,INR,UPI
T100584,2026-08-25,Amazon,shopping,2737.9,INR,DebitCard
T100585,2026-08-25,Swiggy,food,798.11,INR,UPI
